"data";"sq_casa";"sq_ospite";"risultato_finale";"reti_casa";"reti_ospite";"divisione";"serie";"tot_reti";"diff_reti";"risultato"
"1974-08-17";"Birmingham City";"Middlesbrough";"0-3";0;3;1;1;3;-3;"A"
"1974-08-17";"Burnley";"Wolverhampton Wanderers";"1-2";1;2;1;1;3;-1;"A"
"1974-08-17";"Chelsea";"Carlisle United";"0-2";0;2;1;1;2;-2;"A"
"1974-08-17";"Everton";"Derby County";"0-0";0;0;1;1;0;0;"D"
"1974-08-17";"Leicester City";"Arsenal";"0-1";0;1;1;1;1;-1;"A"
"1974-08-17";"Luton Town";"Liverpool";"1-2";1;2;1;1;3;-1;"A"
"1974-08-17";"Manchester City";"West Ham United";"4-0";4;0;1;1;4;4;"H"
"1974-08-17";"Newcastle United";"Coventry City";"3-2";3;2;1;1;5;1;"H"
"1974-08-17";"Sheffield United";"Queens Park Rangers";"1-1";1;1;1;1;2;0;"D"
"1974-08-17";"Stoke City";"Leeds United";"3-0";3;0;1;1;3;3;"H"
"1974-08-17";"Tottenham Hotspur";"Ipswich Town";"0-1";0;1;1;1;1;-1;"A"
"1974-08-19";"West Ham United";"Luton Town";"2-0";2;0;1;1;2;2;"H"
"1974-08-20";"Arsenal";"Ipswich Town";"0-1";0;1;1;1;1;-1;"A"
"1974-08-20";"Birmingham City";"Leicester City";"3-4";3;4;1;1;7;-1;"A"
"1974-08-20";"Everton";"Stoke City";"2-1";2;1;1;1;3;1;"H"
"1974-08-20";"Middlesbrough";"Carlisle United";"0-2";0;2;1;1;2;-2;"A"
"1974-08-20";"Wolverhampton Wanderers";"Liverpool";"0-0";0;0;1;1;0;0;"D"
"1974-08-21";"Chelsea";"Burnley";"3-3";3;3;1;1;6;0;"D"
"1974-08-21";"Derby County";"Coventry City";"1-1";1;1;1;1;2;0;"D"
"1974-08-21";"Leeds United";"Queens Park Rangers";"0-1";0;1;1;1;1;-1;"A"
"1974-08-21";"Manchester City";"Tottenham Hotspur";"1-0";1;0;1;1;1;1;"H"
"1974-08-21";"Newcastle United";"Sheffield United";"2-2";2;2;1;1;4;0;"D"
"1974-08-24";"Arsenal";"Manchester City";"4-0";4;0;1;1;4;4;"H"
"1974-08-24";"Carlisle United";"Tottenham Hotspur";"1-0";1;0;1;1;1;1;"H"
"1974-08-24";"Coventry City";"Chelsea";"1-3";1;3;1;1;4;-2;"A"
"1974-08-24";"Derby County";"Sheffield United";"2-0";2;0;1;1;2;2;"H"
"1974-08-24";"Ipswich Town";"Burnley";"2-0";2;0;1;1;2;2;"H"
"1974-08-24";"Leeds United";"Birmingham City";"1-0";1;0;1;1;1;1;"H"
"1974-08-24";"Liverpool";"Leicester City";"2-1";2;1;1;1;3;1;"H"
"1974-08-24";"Middlesbrough";"Luton Town";"1-1";1;1;1;1;2;0;"D"
"1974-08-24";"Queens Park Rangers";"Stoke City";"0-1";0;1;1;1;1;-1;"A"
"1974-08-24";"West Ham United";"Everton";"2-3";2;3;1;1;5;-1;"A"
"1974-08-24";"Wolverhampton Wanderers";"Newcastle United";"4-2";4;2;1;1;6;2;"H"
"1974-08-27";"Burnley";"Chelsea";"1-2";1;2;1;1;3;-1;"A"
"1974-08-27";"Carlisle United";"Middlesbrough";"0-1";0;1;1;1;1;-1;"A"
"1974-08-27";"Coventry City";"Derby County";"1-1";1;1;1;1;2;0;"D"
"1974-08-27";"Ipswich Town";"Arsenal";"3-0";3;0;1;1;3;3;"H"
"1974-08-27";"Liverpool";"Wolverhampton Wanderers";"2-0";2;0;1;1;2;2;"H"
