"State","Started.on","Completed","Time.taken","Grade.6.00","Q_1","Q_2","Q_3","Q_4","Q_5","Q_6","Time.taken_secs"
"Finished","11 March 2019  12:09 PM","11 March 2019  12:24 PM","14 mins 20 secs",3,0,1,0,1,0,1,860
"Finished","11 March 2019  12:09 PM","11 March 2019  12:24 PM","15 mins 1 sec",5,1,1,1,1,1,0,901
"Finished","11 March 2019  12:09 PM","11 March 2019  12:24 PM","15 mins",0,0,0,0,0,0,0,900
"Finished","11 March 2019  12:09 PM","11 March 2019  12:24 PM","14 mins 41 secs",6,1,1,1,1,1,1,881
"Finished","11 March 2019  12:10 PM","11 March 2019  12:25 PM","15 mins 1 sec",2,0,0,0,0,1,1,901
"Finished","11 March 2019  12:10 PM","11 March 2019  12:25 PM","14 mins 59 secs",6,1,1,1,1,1,1,899
"Finished","11 March 2019  12:10 PM","11 March 2019  12:25 PM","15 mins 1 sec",0,0,0,0,0,0,0,901
"Finished","11 March 2019  12:09 PM","11 March 2019  12:24 PM","14 mins 59 secs",2,0,0,1,0,1,0,899
"Finished","11 March 2019  12:11 PM","11 March 2019  12:26 PM","15 mins",1,0,0,1,0,0,0,900
"Finished","11 March 2019  12:09 PM","11 March 2019  12:22 PM","12 mins 51 secs",4,1,0,1,0,1,1,771
"Finished","11 March 2019  12:09 PM","11 March 2019  12:21 PM","12 mins 9 secs",5,1,1,0,1,1,1,729
"Finished","11 March 2019  12:10 PM","11 March 2019  12:25 PM","15 mins",2,0,1,0,0,1,0,900
"Finished","11 March 2019  12:09 PM","11 March 2019  12:24 PM","15 mins",3,0,1,0,1,1,0,900
"Finished","11 March 2019  12:12 PM","11 March 2019  12:27 PM","15 mins 1 sec",1,0,0,0,0,1,0,901
"Finished","11 March 2019  12:10 PM","11 March 2019  12:24 PM","14 mins 31 secs",5,1,1,0,1,1,1,871
"Finished","11 March 2019  12:09 PM","11 March 2019  12:18 PM","8 mins 38 secs",6,1,1,1,1,1,1,518
"Finished","11 March 2019  12:09 PM","11 March 2019  12:24 PM","15 mins",4,1,1,1,0,1,0,900
"Finished","11 March 2019  12:09 PM","11 March 2019  12:21 PM","12 mins 24 secs",4,1,0,0,1,1,1,744
"Finished","11 March 2019  12:09 PM","11 March 2019  12:24 PM","15 mins 1 sec",3,1,0,1,0,1,0,901
"Finished","11 March 2019  12:10 PM","11 March 2019  12:25 PM","15 mins",2,0,1,0,0,1,0,900
"Finished","11 March 2019  12:09 PM","11 March 2019  12:24 PM","14 mins 59 secs",2,0,0,0,0,1,1,899
"Finished","11 March 2019  12:10 PM","11 March 2019  12:25 PM","15 mins 1 sec",4,0,1,1,1,1,0,901
"Finished","11 March 2019  12:09 PM","11 March 2019  12:24 PM","15 mins 1 sec",2,0,0,1,0,1,0,901
"Finished","11 March 2019  12:10 PM","11 March 2019  12:24 PM","14 mins 48 secs",3,0,1,1,0,0,1,888
"Finished","11 March 2019  12:10 PM","11 March 2019  12:25 PM","15 mins",3,1,0,1,0,1,0,900
"Finished","11 March 2019  12:09 PM","11 March 2019  12:24 PM","14 mins 15 secs",5,1,1,0,1,1,1,855
"Finished","11 March 2019  12:09 PM","11 March 2019  12:24 PM","14 mins 23 secs",4,0,1,0,1,1,1,863
"Finished","11 March 2019  12:09 PM","11 March 2019  12:24 PM","14 mins 52 secs",2,0,0,1,1,0,0,892
"Finished","11 March 2019  12:09 PM","11 March 2019  12:24 PM","15 mins 1 sec",3,0,0,1,1,1,0,901
"Finished","11 March 2019  12:09 PM","11 March 2019  12:24 PM","15 mins 1 sec",2,0,0,0,0,1,1,901
"Finished","11 March 2019  12:10 PM","11 March 2019  12:25 PM","15 mins 1 sec",0,0,0,0,0,0,0,901
"Finished","11 March 2019  12:09 PM","11 March 2019  12:24 PM","15 mins",4,1,1,0,1,1,0,900
"Finished","11 March 2019  12:10 PM","11 March 2019  12:25 PM","15 mins",2,0,0,1,0,1,0,900
"Finished","11 March 2019  12:10 PM","11 March 2019  12:25 PM","15 mins 1 sec",6,1,1,1,1,1,1,901
"Finished","11 March 2019  12:10 PM","11 March 2019  12:24 PM","13 mins 55 secs",4,1,0,0,1,1,1,835
"Finished","11 March 2019  12:09 PM","11 March 2019  12:24 PM","14 mins 59 secs",5,1,1,1,0,1,1,899
"Finished","11 March 2019  12:09 PM","11 March 2019  12:24 PM","15 mins 1 sec",4,1,1,1,0,1,0,901
"Finished","11 March 2019  12:09 PM","11 March 2019  12:24 PM","15 mins",3,0,1,0,1,0,1,900
"Finished","11 March 2019  12:11 PM","11 March 2019  12:26 PM","15 mins",1,0,0,0,0,1,0,900
"Finished","11 March 2019  12:09 PM","11 March 2019  12:24 PM","14 mins 59 secs",0,0,0,0,0,0,0,899
"Finished","11 March 2019  12:09 PM","11 March 2019  12:24 PM","15 mins 1 sec",2,1,1,0,0,0,0,901
