"State","Started.on","Completed","Time.taken","Grade.5.00","Q_1","Q_2","Q_3","Q_4","Q_5","Time.taken_secs"
"Finished","18 March 2019  12:20 PM","18 March 2019  12:29 PM","9 mins 41 secs",0,0,0,0,0,0,581
"Finished","18 March 2019  12:23 PM","18 March 2019  12:30 PM","6 mins 47 secs",1,0,1,0,0,0,407
"Finished","18 March 2019  12:17 PM","18 March 2019  12:30 PM","12 mins 53 secs",1,0,0,0,0,1,773
"Finished","18 March 2019  12:16 PM","18 March 2019  12:30 PM","13 mins 18 secs",4,1,1,1,0,1,798
"Finished","18 March 2019  12:16 PM","18 March 2019  12:29 PM","12 mins 59 secs",1,1,0,0,0,0,779
"Finished","18 March 2019  12:18 PM","18 March 2019  12:29 PM","11 mins 8 secs",2,1,0,1,0,0,668
"Finished","18 March 2019  12:24 PM","18 March 2019  12:30 PM","5 mins 59 secs",0,0,0,0,0,0,359
"Finished","18 March 2019  12:16 PM","18 March 2019  12:30 PM","13 mins 19 secs",3,1,1,1,0,0,799
"Finished","18 March 2019  12:16 PM","18 March 2019  12:30 PM","13 mins 20 secs",1,0,0,1,0,0,800
"Finished","18 March 2019  12:16 PM","18 March 2019  12:30 PM","13 mins 27 secs",3,1,0,1,0,1,807
"Finished","18 March 2019  12:16 PM","18 March 2019  12:29 PM","12 mins 28 secs",3,1,1,0,0,1,748
"Finished","18 March 2019  12:16 PM","18 March 2019  12:30 PM","13 mins 23 secs",1,0,0,1,0,0,803
"Finished","18 March 2019  12:16 PM","18 March 2019  12:29 PM","13 mins 15 secs",2,0,0,1,0,1,795
"Finished","18 March 2019  12:16 PM","18 March 2019  12:29 PM","13 mins 39 secs",2,1,0,1,0,0,819
"Finished","18 March 2019  12:17 PM","18 March 2019  12:30 PM","12 mins 15 secs",1,1,0,0,0,0,735
"Finished","18 March 2019  12:17 PM","18 March 2019  12:30 PM","12 mins 32 secs",1,0,0,0,0,1,752
"Finished","18 March 2019  12:16 PM","18 March 2019  12:30 PM","13 mins 26 secs",2,0,0,1,0,1,806
"Finished","18 March 2019  12:16 PM","18 March 2019  12:29 PM","13 mins 16 secs",1,0,0,1,0,0,796
"Finished","18 March 2019  12:16 PM","18 March 2019  12:30 PM","13 mins 26 secs",2,1,0,0,0,1,806
"Finished","18 March 2019  12:16 PM","18 March 2019  12:30 PM","13 mins 10 secs",3,1,1,0,0,1,790
"Finished","18 March 2019  12:16 PM","18 March 2019  12:30 PM","13 mins 29 secs",3,1,0,1,0,1,809
"Finished","18 March 2019  12:23 PM","18 March 2019  12:30 PM","6 mins 48 secs",2,0,1,0,0,1,408
"Finished","18 March 2019  12:17 PM","18 March 2019  12:30 PM","12 mins 42 secs",1,0,0,1,0,0,762
"Finished","18 March 2019  12:16 PM","18 March 2019  12:30 PM","13 mins 20 secs",3,0,1,1,0,1,800
"Finished","18 March 2019  12:16 PM","18 March 2019  12:30 PM","13 mins 22 secs",3,1,1,1,0,0,802
"Finished","18 March 2019  12:16 PM","18 March 2019  12:30 PM","13 mins 35 secs",2,1,0,0,0,1,815
"Finished","18 March 2019  12:16 PM","18 March 2019  12:30 PM","13 mins 32 secs",3,1,1,1,0,0,812
"Finished","18 March 2019  12:16 PM","18 March 2019  12:29 PM","13 mins 2 secs",2,0,1,1,0,0,782
"Finished","18 March 2019  12:16 PM","18 March 2019  12:30 PM","13 mins 31 secs",2,1,0,0,0,1,811
"Finished","18 March 2019  12:16 PM","18 March 2019  12:30 PM","13 mins 25 secs",0,0,0,0,0,0,805
"Finished","18 March 2019  12:18 PM","18 March 2019  12:30 PM","11 mins 51 secs",1,1,0,0,0,0,711
"Finished","18 March 2019  12:26 PM","18 March 2019  12:30 PM","3 mins 29 secs",0,0,0,0,0,0,209
"Finished","18 March 2019  12:15 PM","18 March 2019  12:30 PM","14 mins 38 secs",3,1,0,1,0,1,878
"Finished","18 March 2019  12:18 PM","18 March 2019  12:29 PM","11 mins 39 secs",1,1,0,0,0,0,699
"Finished","18 March 2019  12:16 PM","18 March 2019  12:30 PM","13 mins 39 secs",2,0,1,1,0,0,819
"Finished","18 March 2019  12:17 PM","18 March 2019  12:29 PM","12 mins 17 secs",2,0,0,1,0,1,737
"Finished","18 March 2019  12:20 PM","18 March 2019  12:30 PM","9 mins 50 secs",3,1,0,1,0,1,590
