Popolazione residente nei comuni d'Italia al 1° gennaio 2017
"Codice_ISTAT","Comune","Maschi","Femmine","Totale"
"001001","Agliè","1263.0","1384.0","2647.0"
"001002","Airasca","1917.0","1848.0","3765.0"
"001003","Ala di Stura","246.0","219.0","465.0"
"001004","Albiano d'Ivrea","832.0","863.0","1695.0"
"001005","Alice Superiore","361.0","351.0","712.0"
"001006","Almese","3153.0","3270.0","6423.0"
"001007","Alpette","130.0","125.0","255.0"
"001008","Alpignano","8397.0","8641.0","17038.0"
"001009","Andezeno","997.0","1009.0","2006.0"
"001010","Andrate","263.0","238.0","501.0"
"001011","Angrogna","459.0","427.0","886.0"
"001012","Arignano","549.0","518.0","1067.0"
"001013","Avigliana","6077.0","6403.0","12480.0"
"001014","Azeglio","639.0","669.0","1308.0"
"001015","Bairo","384.0","416.0","800.0"
"001016","Balangero","1534.0","1643.0","3177.0"
"001017","Baldissero Canavese","257.0","289.0","546.0"
"001018","Baldissero Torinese","1857.0","1903.0","3760.0"
"001019","Balme","56.0","52.0","108.0"
"001020","Banchette","1527.0","1719.0","3246.0"
"001021","Barbania","792.0","811.0","1603.0"
"001022","Bardonecchia","1564.0","1609.0","3173.0"
"001023","Barone Canavese","293.0","288.0","581.0"
"001024","Beinasco","8759.0","9358.0","18117.0"
"001025","Bibiana","1739.0","1728.0","3467.0"
"001026","Bobbio Pellice","273.0","295.0","568.0"
"001027","Bollengo","1083.0","1058.0","2141.0"
"001028","Borgaro Torinese","6623.0","6915.0","13538.0"
"001029","Borgiallo","293.0","300.0","593.0"
"001030","Borgofranco d'Ivrea","1790.0","1950.0","3740.0"
"001031","Borgomasino","384.0","411.0","795.0"
"001032","Borgone Susa","1110.0","1097.0","2207.0"
"001033","Bosconero","1556.0","1600.0","3156.0"
"001034","Brandizzo","4278.0","4429.0","8707.0"
"001035","Bricherasio","2262.0","2368.0","4630.0"
"001036","Brosso","192.0","217.0","409.0"
"001037","Brozolo","236.0","227.0","463.0"
"001038","Bruino","4303.0","4332.0","8635.0"
"001039","Brusasco","798.0","841.0","1639.0"
"001040","Bruzolo","746.0","779.0","1525.0"
"001041","Buriasco","683.0","712.0","1395.0"
