"tempo_di_guasto","anno"
21,"2011"
21,"2011"
28,"2011"
34,"2011"
11,"2011"
5,"2011"
4,"2011"
10,"2011"
7,"2011"
14,"2011"
55,"2011"
9,"2011"
20,"2011"
7,"2011"
38,"2011"
15,"2011"
29,"2011"
27,"2011"
9,"2011"
76,"2012"
18,"2012"
35,"2012"
21,"2012"
10,"2012"
3,"2012"
6,"2012"
11,"2012"
4,"2012"
72,"2012"
18,"2012"
3,"2012"
30,"2012"
27,"2013"
54,"2013"
22,"2013"
6,"2013"
57,"2013"
5,"2013"
7,"2013"
29,"2013"
21,"2013"
5,"2013"
20,"2013"
16,"2013"
5,"2013"
51,"2014"
22,"2014"
114,"2014"
5,"2014"
23,"2014"
19,"2014"
3,"2014"
6,"2014"
16,"2014"
7,"2014"
5,"2014"
3,"2014"
17,"2014"
12,"2014"
12,"2014"
10,"2014"
10,"2014"
19,"2014"
34,"2014"
16,"2014"
4,"2014"
3,"2014"
4,"2014"
22,"2015"
9,"2015"
15,"2015"
17,"2015"
27,"2015"
6,"2015"
6,"2015"
3,"2015"
20,"2015"
44,"2015"
8,"2015"
7,"2015"
5,"2015"
4,"2015"
12,"2015"
11,"2015"
41,"2015"
7,"2016"
8,"2016"
65,"2016"
79,"2016"
7,"2016"
27,"2016"
4,"2016"
11,"2016"
18,"2016"
26,"2016"
16,"2016"
7,"2016"
53,"2016"
36,"2016"
85,"2016"
70,"2016"
6,"2016"
8,"2016"
8,"2016"
57,"2017"
10,"2017"
28,"2017"
11,"2017"
4,"2017"
6,"2017"
16,"2017"
13,"2017"
11,"2017"
7,"2018"
4,"2018"
38,"2018"
15,"2018"
5,"2018"
7,"2018"
11,"2018"
11,"2018"
13,"2018"
5,"2018"
44,"2018"
9,"2018"
21,"2018"
6,"2018"
